length,num_lines,avg_line_length,alpha_ratio,digit_ratio,space_ratio,special_char_ratio,avg_indent,indent_variance,max_indent,avg_identifier_length,max_identifier_length,num_unique_identifiers,identifier_diversity,single_letter_var_ratio,has_comments,num_hash_comments,num_slashslash_comments,has_def,has_class,has_import,has_from,has_if,has_else,has_elif,has_for,has_while,has_try,has_except,has_return,has_lambda,has_with,num_brackets,num_operators,num_comparisons,line_length_variance,max_line_length,num_blank_lines,blank_line_ratio,max_nesting,num_single_quotes,num_double_quotes,string_quote_ratio,label,language,generator
327,17,19.235294117647058,0.3425076452599388,0.01834862385321101,0.3486238532110092,0.290519877675841,5.411764705882353,24.359861591695502,12,1.75,5,20,0.3125,0.765625,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,13,14,2,153.14878892733563,59,0,0.0,3,22,0,22.0,1,Python,ibm-granite/granite-8b-code-base-4k
333,19,17.526315789473685,0.40540540540540543,0.02702702702702703,0.29429429429429427,0.2732732732732733,1.7777777777777777,1.2839506172839505,4,1.9154929577464788,5,19,0.2676056338028169,0.6338028169014085,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,2,2,71.40166204986149,39,1,0.05263157894736842,0,0,0,0.0,0,Python,human
288,12,24.0,0.4861111111111111,0.034722222222222224,0.3159722222222222,0.16319444444444445,4.0,8.727272727272727,8,4.294117647058823,26,16,0.47058823529411764,0.4117647058823529,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,9,4,2,150.57638888888889,41,1,0.08333333333333333,2,0,0,0.0,1,Python,codellama/CodeLlama-70b-Instruct-hf
1336,59,22.64406779661017,0.5643712574850299,0.04341317365269461,0.20059880239520958,0.19161676646706588,0.8,1.1200000000000003,4,3.673076923076923,17,87,0.4182692307692308,0.25961538461538464,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,73,20,6,341.47831083022123,75,9,0.15254237288135594,0,8,0,8.0,0,Python,human
487,29,16.79310344827586,0.5030800821355236,0.03696098562628337,0.2731006160164271,0.1868583162217659,1.0,0.7407407407407407,2,3.310810810810811,8,26,0.35135135135135137,0.24324324324324326,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16,12,5,85.79785969084423,34,2,0.06896551724137931,0,8,0,8.0,0,Python,human
2533,70,36.18571428571428,0.5546782471377812,0.013028030003947888,0.26964074220292145,0.1626529806553494,6.518518518518518,10.24965706447188,12,6.435897435897436,26,67,0.2863247863247863,0.14102564102564102,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,64,37,3,724.7599999999999,88,16,0.22857142857142856,3,20,6,3.3333333333333335,1,Python,Qwen/Qwen2.5-Coder-1.5B-Instruct
188,10,18.8,0.48404255319148937,0.02127659574468085,0.2127659574468085,0.28191489361702127,1.1111111111111112,0.54320987654321,2,2.757575757575758,5,18,0.5454545454545454,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,3,2,121.29,35,1,0.1,0,2,0,2.0,0,Python,human
840,32,26.25,0.47619047619047616,0.005952380952380952,0.39404761904761904,0.12380952380952381,8.74074074074074,41.52537722908093,20,4.752941176470588,24,34,0.4,0.21176470588235294,1,2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,25,4,3,226.3896484375,53,5,0.15625,5,2,4,0.5,1,Python,microsoft/Phi-3-medium-4k-instruct
150,7,21.428571428571427,0.5666666666666667,0.02666666666666667,0.12666666666666668,0.28,0.0,0.0,0,3.5416666666666665,7,13,0.5416666666666666,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,102.81632653061226,36,1,0.14285714285714285,0,0,0,0.0,0,Python,human
1735,65,26.692307692307693,0.3642651296829971,0.09510086455331412,0.2501440922190202,0.2904899135446686,2.4918032786885247,14.249932813759742,16,2.6736401673640167,13,44,0.18410041841004185,0.3891213389121339,1,25,4,1,0,0,0,1,1,0,1,1,0,0,1,0,0,110,125,9,381.0068639053255,105,4,0.06153846153846154,4,2,2,1.0,1,Python,microsoft/phi-2
416,37,11.243243243243244,0.34134615384615385,0.038461538461538464,0.38221153846153844,0.23798076923076922,1.5277777777777777,1.4158950617283952,3,1.868421052631579,6,22,0.2894736842105263,0.6842105263157895,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,20,11,6,31.65668371073777,35,1,0.02702702702702703,0,2,0,2.0,0,Python,human
1066,43,24.790697674418606,0.6547842401500938,0.03377110694183865,0.20356472795497185,0.10787992495309569,0.2647058823529412,0.19463667820069208,1,4.97887323943662,18,35,0.24647887323943662,0.04225352112676056,1,10,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,25,3,0,289.03515413737153,58,9,0.20930232558139536,0,0,6,0.0,1,Python,meta-llama/Llama-3.2-3B
164,7,23.428571428571427,0.5,0.042682926829268296,0.18902439024390244,0.2682926829268293,0.5714285714285714,1.9591836734693882,4,2.8275862068965516,5,17,0.5862068965517241,0.2413793103448276,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,14,2,2,223.95918367346937,52,0,0.0,1,0,0,0.0,1,Python,ibm-granite/granite-8b-code-base-4k
468,17,27.529411764705884,0.5491452991452992,0.029914529914529916,0.2692307692307692,0.1517094017094017,3.142857142857143,7.2653061224489806,8,4.963636363636364,16,32,0.5818181818181818,0.23636363636363636,1,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,11,0,3,552.948096885813,94,3,0.17647058823529413,2,0,6,0.0,1,Python,Qwen/Qwen2.5-Coder-1.5B-Instruct
246,7,35.142857142857146,0.4878048780487805,0.052845528455284556,0.18699186991869918,0.27235772357723576,0.3333333333333333,0.22222222222222224,1,3.3157894736842106,7,19,0.5,0.23684210526315788,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,18,8,1,1124.7755102040817,96,1,0.14285714285714285,0,6,0,6.0,0,Python,human
767,41,18.70731707317073,0.439374185136897,0.10299869621903521,0.22946544980443284,0.22816166883963493,0.9487179487179487,0.5614727153188691,2,3.293103448275862,6,36,0.3103448275862069,0.11206896551724138,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,54,11,5,171.41582391433667,83,2,0.04878048780487805,0,0,0,0.0,0,Python,human
